price,name,yearOfRegistration,monthOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,vehicleType
400,Ford_Escort,1992,8,manuell,89,escort,60000,benzin,ford,kombi
3500,Bmw_320_cabrio,1996,0,manuell,150,3er,125000,,bmw,cabrio
2200,Mercedes_C_230_T_im_top_Zustand_Tuev_Neu!!_Winterreifen_Neu!!,1998,0,manuell,150,c_klasse,150000,benzin,mercedes_benz,kombi
4000,A3_Limousine,2006,7,manuell,0,a3,150000,diesel,audi,limousine
2600,Smart_Smart_cabrio_450_cdi,2002,7,automatik,41,fortwo,150000,diesel,smart,cabrio
2222,BMW_318ti_compact,2001,10,manuell,143,3er,150000,benzin,bmw,limousine
4000,Toyota_Yaris_1.0_VVT_i,2008,11,manuell,69,yaris,125000,benzin,toyota,kleinwagen
570,Audi_A4_B5_2_5TDi_Quattro_Chip_Gewindefahrwerk_Bose,1999,6,manuell,180,a4,150000,diesel,audi,kombi
9999,Golf_5_GTI_2.0L_TFSI,2005,10,manuell,200,golf,150000,benzin,volkswagen,kleinwagen
16999,VW_Multivan_Comfortline,2006,1,manuell,131,transporter,150000,diesel,volkswagen,bus
11300,Mercedes_Benz_SLK_320,2000,3,manuell,218,slk,90000,benzin,mercedes_benz,cabrio
11980,Mercedes_Benz_CLS_350_7G_TRONIC,2005,8,automatik,272,andere,125000,benzin,mercedes_benz,coupe
3999,Volkswagen_Golf_1.4_Comfortline,2006,10,manuell,80,golf,100000,benzin,volkswagen,limousine
500,Verkaufe_meinen_Goldi,1997,0,manuell,1256,,150000,,audi,kleinwagen
3450,Opel_Zafira_1.9_CDTI,2006,11,manuell,120,zafira,150000,diesel,opel,bus
149500,Ferrari_458_Italia___Garantie_bis_November_2016,2010,11,automatik,570,,20000,benzin,sonstige_autos,coupe
500,Zuverlaessiger_Opel_Corsa_B_abzugeben!!,1997,3,manuell,60,corsa,150000,benzin,opel,kleinwagen
12250,Volkswagen_Golf_1.2_TSI_BlueMotion_Technology_DSG_Style,2012,2,automatik,105,golf,50000,benzin,volkswagen,limousine
500,Twingo_Schnaeppchen_nur_noch_bis_Montag_angemeldet!!!,2017,0,manuell,0,twingo,150000,benzin,renault,
199,Opel_B_Corsa_zu_verkaufen,2000,0,manuell,60,corsa,150000,,opel,
2800,Seat_Arosa_Bj._2004,2004,8,manuell,50,arosa,70000,benzin,seat,kleinwagen
7399,Volkswagen_Passat_Variant_2.0_TDI_DPF_DSG_Individual,2007,10,automatik,140,passat,150000,diesel,volkswagen,kombi
